MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; First-order reversal curves
Generated by Lake Shore 8600 series VSM software version 1.3

INSTRUMENT
Configuration			VSM
0.022, 1.96563183949185E-6
0.025, 2.1734061741434E-6
0.028, 2.37835566818166E-6
0.031, 2.58168067515542E-6
0.034, 2.78564753567838E-6
0.037, 2.9879329475144E-6
0.04, 3.18982270499344E-6
0.043, 3.38923850675176E-6
0.046, 3.58658269278473E-6
0.049, 3.78019868748327E-6
0.052, 3.97332349234335E-6
0.055, 4.16599422257493E-6
0.0579999999999999, 4.3545451779321E-6
0.0609999999999999, 4.53959230573234E-6

0.439344201216581, 1.20306808717641E-5

0.016, 1.53393810658093E-6
0.019, 1.74210978907362E-6
0.022, 1.94985461522675E-6
0.025, 2.16052975700372E-6
0.028, 2.36957846408165E-6
0.031, 2.57065352110351E-6
0.034, 2.77717537029889E-6
0.037, 2.98384898300652E-6
0.04, 3.18365653856107E-6
0.043, 3.38386341761964E-6
0.046, 3.58376191517261E-6
0.049, 3.77550962644495E-6
0.052, 3.97162868966066E-6
0.0549999999999999, 4.16225905969902E-6
0.0579999999999999, 4.3501905715672E-6
0.0609999999999999, 4.53704937661074E-6
0.0639999999999999, 4.72147452043863E-6

0.439341727835466, 1.2031302934396E-5

0.013, 1.30443782403244E-6
0.016, 1.51443603685284E-6
0.019, 1.72432749665403E-6
0.022, 1.93745693217233E-6
0.025, 2.1466496547007E-6
0.028, 2.35492230595517E-6
0.031, 2.56460996166443E-6
0.034, 2.7704723134916E-6
0.037, 2.97564977520823E-6
0.04, 3.17924716074875E-6
0.043, 3.38054585490409E-6
0.046, 3.57808010189756E-6
0.049, 3.77358722644945E-6
0.0519999999999999, 3.96843213571108E-6
0.0549999999999999, 4.1603112588883E-6
0.0579999999999999, 4.35169496245414E-6
0.0609999999999999, 4.53576230604044E-6
0.0639999999999999, 4.71992762970714E-6
0.0669999999999999, 4.90060774661859E-6

0.439340276835463, 1.20309844300162E-5

0.00999999999999995, 1.06733183177324E-6
0.013, 1.28187483464066E-6
0.016, 1.49275826243952E-6
0.019, 1.70793572275104E-6
0.022, 1.92389923274184E-6
0.025, 2.1365435660237E-6
0.028, 2.34834356363843E-6
0.031, 2.55917983567624E-6
0.034, 2.76670916035797E-6
0.037, 2.97136203629168E-6
0.04, 3.17702412525276E-6
0.043, 3.3773779568695E-6
0.046, 3.57564082778886E-6
0.0489999999999999, 3.77029855981688E-6
0.0519999999999999, 3.96674818793747E-6
0.0549999999999999, 4.15803992573604E-6
0.0579999999999999, 4.34874524471422E-6
0.0609999999999999, 4.53403315592533E-6
0.0639999999999999, 4.71977280705044E-6
0.0669999999999999, 4.90223968111452E-6
0.0699999999999999, 5.08064846492718E-6

0.439345265257769, 1.20308564288206E-5

0.00699999999999995, 8.30778975853188E-7
0.00999999999999995, 1.04366662771968E-6
0.013, 1.25719090035248E-6
0.016, 1.47580278007528E-6
0.019, 1.69394160747695E-6
0.022, 1.90966976928158E-6
0.025, 2.12609243547303E-6
0.028, 2.34043666568202E-6
0.031, 2.55115654900806E-6
0.034, 2.76050706923597E-6
0.037, 2.96710826506599E-6
0.04, 3.17120710723483E-6
0.043, 3.37464810504373E-6
0.0459999999999999, 3.57120861198124E-6
0.0489999999999999, 3.76636951169713E-6
0.0519999999999999, 3.96433637197659E-6
0.0549999999999999, 4.15594669310201E-6
0.0579999999999999, 4.34817274895741E-6
0.0609999999999999, 4.53421890817535E-6
0.0639999999999999, 4.71705826705006E-6
0.0669999999999999, 4.89774421853162E-6
0.0699999999999999, 5.07765269465982E-6
0.0729999999999999, 5.25475978292451E-6

0.439338119742342, 1.20331648462604E-5

0.00399999999999995, 5.8762866509636E-7
0.00699999999999995, 8.01119420333617E-7
0.00999999999999995, 1.02007866315941E-6
0.013, 1.24119114763232E-6
0.016, 1.46243160548214E-6
0.019, 1.68074006848308E-6
0.022, 1.89927993933489E-6
0.025, 2.11685679002753E-6
0.028, 2.33131201180543E-6
0.031, 2.54399875061093E-6
0.034, 2.75530295679825E-6
0.037, 2.96351879746397E-6
0.04, 3.16747287760563E-6
0.0429999999999999, 3.3688820058442E-6
0.0459999999999999, 3.56937252748085E-6
0.0489999999999999, 3.76720536851525E-6
0.0519999999999999, 3.96472208747135E-6
0.0549999999999999, 4.15571042176564E-6
0.0579999999999999, 4.34553128935952E-6
0.0609999999999999, 4.53133456169855E-6
0.0639999999999999, 4.71553739104715E-6
0.0669999999999999, 4.89882215870845E-6
0.0699999999999999, 5.07678847079098E-6
0.0729999999999999, 5.25468728678595E-6
0.076, 5.42894250547515E-6

0.439345349797457, 1.20336429225334E-5

0.000999999999999945, 3.34778573972685E-7
0.00399999999999995, 5.53673173999836E-7
0.00699999999999995, 7.74554262112485E-7
0.00999999999999995, 9.97333349326372E-7
0.013, 1.22185997686069E-6
0.016, 1.44541222561693E-6
0.019, 1.66882942342559E-6
0.022, 1.89107310417822E-6
0.025, 2.10969807553362E-6
0.028, 2.32601768578725E-6
0.031, 2.536621011429E-6
0.034, 2.74806275805125E-6
0.037, 2.95802283973173E-6
0.0399999999999999, 3.16410038467586E-6
0.0429999999999999, 3.36775032549805E-6
0.0459999999999999, 3.56615289022332E-6
0.0489999999999999, 3.76397932700636E-6
0.0519999999999999, 3.95894789899122E-6
0.0549999999999999, 4.15157073101881E-6
0.0579999999999999, 4.34347995650424E-6
0.0609999999999999, 4.53168200235118E-6
0.0639999999999999, 4.71749714243559E-6
0.0669999999999999, 4.89835149336213E-6
0.0699999999999999, 5.07667014346313E-6
0.0729999999999999, 5.25446794446537E-6
0.076, 5.43014969192619E-6
0.079, 5.59838416511296E-6

0.439342247087653, 1.20295454056482E-5

-0.00200000000000006, 8.17178382432602E-8
0.000999999999999945, 3.01866318069169E-7
0.00399999999999995, 5.24924507987596E-7
0.00699999999999995, 7.51080408961455E-7
0.00999999999999995, 9.77789376241847E-7
0.013, 1.20766007820332E-6
0.016, 1.43301856726455E-6
0.019, 1.65639200450541E-6
0.022, 1.87987623797524E-6
0.025, 2.09984095956618E-6
0.028, 2.31903898519407E-6
0.031, 2.53324921733691E-6
0.034, 2.74422538406205E-6
0.0369999999999999, 2.95339627167089E-6
0.0399999999999999, 3.15953580471949E-6
0.0429999999999999, 3.36339495905184E-6
0.0459999999999999, 3.56534752972124E-6
0.0489999999999999, 3.76117634738255E-6
0.0519999999999999, 3.95906863444458E-6
0.0549999999999999, 4.1510422503934E-6
0.0579999999999999, 4.34019123409798E-6
0.0609999999999999, 4.52956972379261E-6
0.0639999999999999, 4.7153081084767E-6
0.0669999999999999, 4.8960919709473E-6
0.0699999999999999, 5.075169512706E-6
0.0729999999999999, 5.25244280270439E-6
0.076, 5.4268737500251E-6
0.079, 5.5984746268979E-6
0.082, 5.76890836064419E-6

0.439339021911455, 1.2029168195756E-5

-0.00500000000000006, -1.72807766613826E-7
-0.00200000000000006, 4.43400320077707E-8
0.000999999999999945, 2.70181484376687E-7
0.00399999999999995, 4.97590615054115E-7
0.00699999999999995, 7.28064690017431E-7
0.00999999999999995, 9.58406701555823E-7
0.013, 1.18754413445761E-6
0.016, 1.42085088027494E-6
0.019, 1.65076381042573E-6
0.022, 1.87292357842321E-6
0.025, 2.09325736817199E-6
0.028, 2.31309197476899E-6
0.031, 2.52867109658383E-6
0.0339999999999999, 2.74166065868655E-6
0.0369999999999999, 2.94959977755742E-6
0.0399999999999999, 3.15820406589415E-6
0.0429999999999999, 3.36122291160051E-6
0.0459999999999999, 3.56080200438259E-6
0.0489999999999999, 3.76011304643568E-6
0.0519999999999999, 3.95770651865077E-6
0.0549999999999999, 4.15007615587009E-6
0.0579999999999999, 4.33936236532288E-6
0.0609999999999999, 4.52743700364874E-6
0.0639999999999999, 4.71132808686445E-6
0.0669999999999999, 4.89625277761864E-6
0.0699999999999999, 5.07482064962495E-6
0.0729999999999999, 5.25189610797088E-6
0.076, 5.42738650320648E-6
0.079, 5.59869140867944E-6
0.082, 5.76764317574663E-6
0.0849999999999999, 5.93313101356652E-6

0.439343469946132, 1.20298479248646E-5

-0.00800000000000006, -4.25770837214547E-7
-0.00500000000000006, -2.12268467956737E-7
-0.00200000000000006, 1.00532308212609E-8
0.000999999999999945, 2.39286143029007E-7
0.00399999999999995, 4.70301882375209E-7
0.00699999999999995, 7.07579725486449E-7
0.00999999999999995, 9.42932095284771E-7
0.013, 1.17668355612612E-6
0.016, 1.40736155745612E-6
0.019, 1.63758089751126E-6
0.022, 1.86461063505634E-6
0.025, 2.0871690968877E-6
0.028, 2.30753222235964E-6
0.0309999999999999, 2.52150599221794E-6
0.0339999999999999, 2.73712320585175E-6
0.0369999999999999, 2.94395504184985E-6
0.0399999999999999, 3.15089598622184E-6
0.0429999999999999, 3.35709871485048E-6
0.0459999999999999, 3.55988339681726E-6
0.0489999999999999, 3.75694650491968E-6
0.0519999999999999, 3.95281291059195E-6
0.0549999999999999, 4.14397527680953E-6
0.0579999999999999, 4.33873171620789E-6
0.0609999999999999, 4.52558660822958E-6
0.0639999999999999, 4.70901737088051E-6
0.0669999999999999, 4.8919598327748E-6
0.0699999999999999, 5.07249734843977E-6
0.0729999999999999, 5.24604950078392E-6
0.076, 5.4234458365111E-6
0.079, 5.59294714012007E-6
0.0819999999999999, 5.76088597421925E-6
0.0849999999999999, 5.92760837122504E-6
0.0879999999999999, 6.0903601125033E-6

0.439342038428926, 1.20290681685963E-5

-0.0110000000000001, -6.78625613671453E-7
-0.00800000000000006, -4.60488281655677E-7
-0.00500000000000006, -2.43559675355219E-7
-0.00200000000000006, -1.83359236316586E-8
0.000999999999999945, 2.1009156230368E-7
0.00399999999999995, 4.48577911393042E-7
0.00699999999999995, 6.89131424099919E-7
0.00999999999999995, 9.26442192228663E-7
0.013, 1.16430719809662E-6
0.016, 1.39810925828047E-6
0.019, 1.62975868918924E-6
0.022, 1.85676643584404E-6
0.025, 2.08062611728599E-6
0.0279999999999999, 2.30385255819122E-6
0.0309999999999999, 2.51986562287102E-6
0.0339999999999999, 2.72970806110612E-6
0.0369999999999999, 2.94329832032261E-6
0.0399999999999999, 3.14775226701833E-6
0.0429999999999999, 3.35390560825266E-6
0.0459999999999999, 3.55610434686769E-6
0.0489999999999999, 3.75536252952728E-6
0.0519999999999999, 3.95007571719742E-6
0.0549999999999999, 4.14346252517217E-6
0.0579999999999999, 4.33363924784119E-6
0.0609999999999999, 4.52282964492303E-6
0.0639999999999999, 4.70848852603814E-6
0.0669999999999999, 4.89009322236702E-6
0.0699999999999999, 5.06805303481198E-6
0.0729999999999999, 5.24569986129659E-6
0.076, 5.41866834622241E-6
0.0789999999999999, 5.59212038711962E-6
0.0819999999999999, 5.76342375583291E-6
0.0849999999999999, 5.9259315955718E-6
0.0879999999999999, 6.0936091778771E-6
0.0909999999999999, 6.2502117534507E-6

0.439342510553824, 1.20270415695863E-5

-0.0140000000000001, -9.22418362672614E-7
-0.0110000000000001, -7.08239023780384E-7
-0.00800000000000006, -4.9625714779635E-7
-0.00500000000000006, -2.72985139440244E-7
-0.00200000000000006, -4.69183552113446E-8
0.000999999999999945, 1.88305534090861E-7
0.00399999999999995, 4.30070413716977E-7
0.00699999999999995, 6.71822626225337E-7
0.00999999999999995, 9.12254981081223E-7
0.013, 1.15015070903934E-6
0.016, 1.38806882093241E-6
0.019, 1.62143048417639E-6
0.022, 1.85160779431012E-6
0.0249999999999999, 2.07761862628462E-6
0.0279999999999999, 2.29456199098632E-6
0.0309999999999999, 2.5147397844007E-6
0.0339999999999999, 2.72902585237854E-6
0.0369999999999999, 2.93819840446667E-6
0.0399999999999999, 3.14584873105656E-6
0.0429999999999999, 3.35033559038587E-6
0.0459999999999999, 3.55218098303089E-6
0.0489999999999999, 3.75346796209423E-6
0.0519999999999999, 3.94599333782175E-6
0.0549999999999999, 4.14422903986236E-6
0.0579999999999999, 4.33309881555079E-6
0.0609999999999999, 4.52118439846941E-6
0.0639999999999999, 4.7068983492485E-6
0.0669999999999999, 4.89038008276078E-6
0.0699999999999999, 5.06786261591102E-6
0.0729999999999999, 5.24717307233206E-6
0.0759999999999999, 5.42199472995215E-6
0.0789999999999999, 5.59141384794571E-6
0.0819999999999999, 5.762187120472E-6
0.0849999999999999, 5.92812016894174E-6
0.0879999999999999, 6.08962711646522E-6
0.0909999999999999, 6.24945375134025E-6
0.0939999999999999, 6.40679193166535E-6

0.439347059026996, 1.20268032308008E-5

-0.0170000000000001, -1.1684518364512E-6
-0.0140000000000001, -9.58548320088962E-7
-0.0110000000000001, -7.40033701145244E-7
-0.00800000000000006, -5.21390014742933E-7
-0.00500000000000006, -2.97937077096043E-7
-0.00200000000000006, -6.69674637557974E-8
0.000999999999999945, 1.65712573545197E-7
0.00399999999999995, 4.09280571593087E-7
0.00699999999999995, 6.52516399378348E-7
0.00999999999999995, 8.97399337865003E-7
0.013, 1.14027930376195E-6
0.016, 1.37691457669712E-6
0.019, 1.61252912487754E-6
0.0219999999999999, 1.84084000569823E-6
0.0249999999999999, 2.06806321689149E-6
0.0279999999999999, 2.29064847907079E-6
0.0309999999999999, 2.50862893719404E-6
0.0339999999999999, 2.72316027716246E-6
0.0369999999999999, 2.93562376241329E-6
0.0399999999999999, 3.14425450602604E-6
0.0429999999999999, 3.34832352569454E-6
0.0459999999999999, 3.55249086058934E-6
0.0489999999999999, 3.74927115757775E-6
0.0519999999999999, 3.94822281722541E-6
0.0549999999999999, 4.14231753270017E-6
0.0579999999999999, 4.33001592330618E-6
0.0609999999999999, 4.52044785990244E-6
0.0639999999999999, 4.70573490911133E-6
0.0669999999999999, 4.88977134105542E-6
0.0699999999999999, 5.06910161962489E-6
0.0729999999999999, 5.24503529299528E-6
0.0759999999999999, 5.41901865033899E-6
0.0789999999999999, 5.59144650913644E-6
0.0819999999999999, 5.76261357432712E-6
0.0849999999999999, 5.92878840988027E-6
0.0879999999999999, 6.09146591158311E-6
0.0909999999999999, 6.25175771262738E-6
0.0939999999999999, 6.40914162733809E-6
0.0969999999999999, 6.56085248930569E-6

0.439341660076648, 1.20264366910051E-5

-0.0200000000000001, -1.40497919796368E-6
-0.0170000000000001, -1.19969873374689E-6
-0.0140000000000001, -9.86072514934597E-7
-0.0110000000000001, -7.69615218891493E-7
-0.00800000000000006, -5.49109070484087E-7
-0.00500000000000006, -3.21474509193094E-7
-0.00200000000000006, -8.90270878530612E-8
0.000999999999999945, 1.45837163460758E-7
0.00399999999999995, 3.92003163879504E-7
0.00699999999999995, 6.37060714039235E-7
0.00999999999999995, 8.8490241215526E-7
0.013, 1.12787097416192E-6
0.016, 1.36723964713424E-6
0.0189999999999999, 1.60375303472566E-6
0.0219999999999999, 1.83508552426433E-6
0.0249999999999999, 2.06445216131597E-6
0.0279999999999999, 2.28351663074623E-6
0.0309999999999999, 2.50574309216805E-6
0.0339999999999999, 2.71947040989768E-6
0.0369999999999999, 2.93197167890043E-6
0.0399999999999999, 3.13815635235547E-6
0.0429999999999999, 3.34464410206035E-6
0.0459999999999999, 3.54931502953925E-6
0.0489999999999999, 3.75077287702785E-6
0.0519999999999999, 3.94657944373371E-6
0.0549999999999999, 4.14045999987916E-6
0.0579999999999999, 4.33004614818199E-6
0.0609999999999999, 4.52052116277547E-6
0.0639999999999999, 4.70426222260921E-6
0.0669999999999999, 4.88717051129448E-6
0.0699999999999999, 5.06645867215967E-6
0.0729999999999999, 5.24451710589117E-6
0.0759999999999999, 5.42035386974084E-6
0.0789999999999999, 5.58948782030993E-6
0.0819999999999999, 5.76015690758782E-6
0.0849999999999999, 5.92623639949864E-6
0.0879999999999999, 6.09157960418345E-6
0.0909999999999999, 6.25141974264881E-6
0.0939999999999999, 6.40785695643953E-6
0.0969999999999999, 6.56227231912933E-6
0.0999999999999999, 6.7124385692065E-6

0.439351617454146, 1.20252503121439E-5

-0.023, -1.64143918119194E-6
-0.02, -1.43607206569488E-6
-0.017, -1.22908334739625E-6
-0.014, -1.01193819997687E-6
-0.011, -7.92496326535895E-7
-0.00800000000000001, -5.70686616856895E-7
-0.005, -3.43818970663573E-7
-0.002, -1.11054404658292E-7
0.001, 1.28143209543376E-7
0.004, 3.75917877177356E-7
0.00700000000000001, 6.25630948671652E-7
0.01, 8.73348097896563E-7
0.013, 1.11843560484571E-6
0.016, 1.3575158036983E-6
0.019, 1.59428876556635E-6
0.022, 1.82953225924819E-6
0.025, 2.05504441226773E-6
0.028, 2.28301265742388E-6
0.031, 2.49874996486972E-6
0.034, 2.71581254025127E-6
0.037, 2.92883494925352E-6
0.04, 3.13612008153288E-6
0.043, 3.34512758038664E-6
0.046, 3.54837471794703E-6
0.049, 3.74573646697512E-6
0.052, 3.9435842460814E-6
0.055, 4.13727415314728E-6
0.058, 4.32823442701863E-6
0.061, 4.51683042223802E-6
0.064, 4.70384835355532E-6
0.0669999999999999, 4.88820770140253E-6
0.0699999999999999, 5.0661542063369E-6
0.0729999999999999, 5.24267949622187E-6
0.076, 5.41898253654094E-6
0.079, 5.58995495759351E-6
0.082, 5.76037413081592E-6
0.085, 5.92596134225342E-6
0.088, 6.08956220092614E-6
0.091, 6.2488207263857E-6
0.094, 6.407346122067E-6
0.097, 6.5631994575188E-6
0.1, 6.71491018506897E-6
0.103, 6.86064669405474E-6

0.439348976153243, 1.20276942438061E-5

-0.026, -1.87422166478834E-6
-0.023, -1.67009271816599E-6
-0.02, -1.46295584758756E-6
-0.017, -1.25093933063564E-6
-0.014, -1.0363319488488E-6
-0.011, -8.14658207305412E-7
-0.00800000000000001, -5.92168264342286E-7
-0.005, -3.62246649125012E-7
-0.002, -1.27087936191796E-7
0.001, 1.16962039588847E-7
0.004, 3.62672657003255E-7
0.00700000000000001, 6.12825225381118E-7
0.01, 8.58957273833979E-7
0.013, 1.10593493609024E-6
0.016, 1.34630535911707E-6
0.019, 1.58609030114941E-6
0.022, 1.82198427148577E-6
0.025, 2.04993540231625E-6
0.028, 2.27482273021909E-6
0.031, 2.49585461868551E-6
0.034, 2.71364509709349E-6
0.037, 2.92742153318085E-6
0.04, 3.13536080035906E-6
0.043, 3.34129175879144E-6
0.046, 3.54346619172819E-6
0.049, 3.74622987946882E-6
0.052, 3.94362130643696E-6
0.055, 4.1386567910671E-6
0.058, 4.32965702917927E-6
0.061, 4.5158177550618E-6
0.0639999999999999, 4.70324987701195E-6
0.0669999999999999, 4.88679540487305E-6
0.0699999999999999, 5.06563014165365E-6
0.0729999999999999, 5.24686579509095E-6
0.076, 5.41735005309404E-6
0.079, 5.59191836039053E-6
0.082, 5.75690691295496E-6
0.085, 5.92535884907701E-6
0.088, 6.08897909281541E-6
0.091, 6.25005806246842E-6
0.094, 6.40891650309014E-6
0.097, 6.56053487783347E-6
0.1, 6.71269860740995E-6
0.103, 6.85958477132007E-6
0.106, 7.00548088551521E-6

0.439341936163471, 1.20282893714377E-5

-0.029, -2.10288787825716E-6
-0.026, -1.90407143430716E-6
-0.023, -1.69501368871953E-6
-0.02, -1.48583430981519E-6
-0.017, -1.26992136132521E-6
-0.014, -1.05502493983667E-6
-0.011, -8.35252797648069E-7
-0.00800000000000001, -6.09407687464768E-7
-0.005, -3.79595782528299E-7
-0.002, -1.42648190029067E-7
0.001, 1.0112504392161E-7
0.004, 3.46987669299296E-7
0.00700000000000001, 5.98857293192088E-7
0.00999999999999995, 8.46940003743489E-7
0.013, 1.09403335605468E-6
0.016, 1.34054644125423E-6
0.019, 1.58025361147755E-6
0.022, 1.81598825173315E-6
0.025, 2.04623544820856E-6
0.028, 2.27242524159587E-6
0.031, 2.49215581493188E-6
0.034, 2.70795556815948E-6
0.037, 2.9249549410979E-6
0.04, 3.13062033098048E-6
0.043, 3.34179779931888E-6
0.046, 3.54468848382238E-6
0.049, 3.7444788675861E-6
0.052, 3.94382603450988E-6
0.055, 4.13717932665012E-6
0.058, 4.32864859558067E-6
0.0609999999999999, 4.51868200279217E-6
0.0639999999999999, 4.70262019496775E-6
0.0669999999999999, 4.88431406397835E-6
0.0699999999999999, 5.06632493667915E-6
0.0729999999999999, 5.24405817972365E-6
0.076, 5.41811759385817E-6
0.079, 5.59215806226028E-6
0.082, 5.7594359220471E-6
0.085, 5.92481294969618E-6
0.088, 6.0905070852131E-6
0.091, 6.24974368661646E-6
0.094, 6.40679666656821E-6
0.097, 6.56182552326936E-6
0.1, 6.71236904407148E-6
0.103, 6.861030426461E-6
0.106, 7.00555008317172E-6
0.109, 7.15061428263302E-6

0.439344806655984, 1.20295657867315E-5

-0.032, -2.32608525453841E-6
-0.029, -2.12686361046913E-6
-0.026, -1.92455194048641E-6
-0.023, -1.71861899633318E-6
-0.02, -1.50555584387369E-6
-0.017, -1.29157580063349E-6
-0.014, -1.07693312247542E-6
-0.011, -8.52083978510574E-7
-0.00800000000000001, -6.25320463441228E-7
-0.005, -3.9383354052054E-7
-0.002, -1.54361071632466E-7
0.001, 8.85391866724235E-8
0.004, 3.36779513657181E-7
0.00699999999999995, 5.87803933767102E-7
0.00999999999999995, 8.38316980097006E-7
0.013, 1.08716073017145E-6
0.016, 1.33269022947244E-6
0.019, 1.57202449550373E-6
0.022, 1.80790118734979E-6
0.025, 2.03930606296275E-6
0.028, 2.2637380658211E-6
0.031, 2.48867645561302E-6
0.034, 2.70736547599024E-6
0.037, 2.92198097614659E-6
0.04, 3.1311837259102E-6
0.043, 3.33676909829276E-6
0.046, 3.54217704626937E-6
0.049, 3.74279176877597E-6
0.052, 3.93870642191745E-6
0.055, 4.13478511187995E-6
0.0579999999999999, 4.32495189434575E-6
0.0609999999999999, 4.51545174809917E-6
0.0639999999999999, 4.69867928060212E-6
0.0669999999999999, 4.88586031628756E-6
0.0699999999999999, 5.06492684477936E-6
0.0729999999999999, 5.24187339027704E-6
0.076, 5.41863600640365E-6
0.079, 5.59104542085121E-6
0.082, 5.75805285231259E-6
0.085, 5.92577612929029E-6
0.088, 6.08942080686947E-6
0.091, 6.25089221974178E-6
0.094, 6.407215077229E-6
0.097, 6.5605387712612E-6
0.1, 6.71296307207137E-6
0.103, 6.86153573108789E-6
0.106, 7.00820725503132E-6
0.109, 7.14899270091858E-6
0.112, 7.29041607444559E-6

0.439347852916765, 1.20292713400225E-5

-0.035, -2.54535051357158E-6
-0.032, -2.34766436612732E-6
-0.029, -2.14957956784222E-6
-0.026, -1.94493728113677E-6
-0.023, -1.73545390939473E-6
-0.02, -1.52618379555324E-6
-0.017, -1.31040807613017E-6
-0.014, -1.0890665995225E-6
-0.011, -8.65639734347328E-7
-0.00800000000000001, -6.3958118101589E-7
-0.005, -4.06494189980399E-7
-0.002, -1.71090290740557E-7
0.001, 7.8732202678549E-8
0.00399999999999995, 3.26832155981293E-7
0.00699999999999995, 5.79381361812822E-7
0.00999999999999995, 8.29842260200107E-7
0.013, 1.07717274925184E-6
0.016, 1.32056920613211E-6
0.019, 1.56475366249375E-6
0.022, 1.80012251660396E-6
0.025, 2.03256291155033E-6
0.028, 2.26211012010378E-6
0.031, 2.48636346549081E-6
0.034, 2.70264082645524E-6
0.037, 2.91593711925697E-6
0.04, 3.12677454530259E-6
0.043, 3.33621509286604E-6
0.046, 3.54043906127121E-6
0.049, 3.7405971240791E-6
0.052, 3.93693475414232E-6
0.0549999999999999, 4.13411003166271E-6
0.0579999999999999, 4.32779068982524E-6
0.0609999999999999, 4.51490168621654E-6
0.0639999999999999, 4.702353849414E-6
0.0669999999999999, 4.88320694865532E-6
0.0699999999999999, 5.06471936269681E-6
0.0729999999999999, 5.24216467143602E-6
0.076, 5.41539250000332E-6
0.079, 5.59115152887365E-6
0.082, 5.7608852109635E-6
0.085, 5.92360783976122E-6
0.088, 6.08749622890659E-6
0.091, 6.24550822884432E-6
0.094, 6.40667046173763E-6
0.097, 6.56005909830878E-6
0.1, 6.71179998040892E-6
0.103, 6.86247587930719E-6
0.106, 7.0067097300091E-6
0.109, 7.14681949601093E-6
0.112, 7.28806878331888E-6
0.115, 7.42381166370468E-6

0.439341485410351, 1.20272796286316E-5

-0.038, -2.76256870256798E-6
-0.035, -2.57025151135221E-6
-0.032, -2.36885735602982E-6
-0.029, -2.1694262928255E-6
-0.026, -1.9626062170749E-6
-0.023, -1.75323891448286E-6
-0.02, -1.54183472330975E-6
-0.017, -1.32386743462204E-6
-0.014, -1.10704976048165E-6
-0.011, -8.8302745901726E-7
-0.00800000000000001, -6.49936793681432E-7
-0.005, -4.18785949795843E-7
-0.002, -1.78691808457791E-7
0.000999999999999945, 6.18307194758825E-8
0.00399999999999995, 3.15943754136377E-7
0.00699999999999995, 5.69762426634749E-7
0.00999999999999995, 8.19750917383559E-7
0.013, 1.07033131784337E-6
0.016, 1.31414673877919E-6
0.019, 1.55779484854178E-6
0.022, 1.79390962692354E-6
0.025, 2.0268726730738E-6
0.028, 2.25677097038172E-6
0.031, 2.47864250089629E-6
0.034, 2.69684967654434E-6
0.037, 2.91314874437488E-6
0.04, 3.12257059302383E-6
0.043, 3.33240610346035E-6
0.046, 3.53807269734014E-6
0.049, 3.74001637125622E-6
0.0519999999999999, 3.93706097332091E-6
0.0549999999999999, 4.13239407652348E-6
0.0579999999999999, 4.32151770653252E-6
0.0609999999999999, 4.51296604331599E-6
